Stations_ID;Stationsname
1;Aach
3;Aachen
44;Grossenkneten
52;Ahrensburg-Wulfsdorf
61;Aiterhofen
70;Albstadt-Ebingen
71;Albstadt-Badkap
72;Albstadt-Onstmettingen
73;Aldersbach-Kriestorf
78;Alfhausen
91;Alsfeld-Eifa
93;Alsfeld-Reibertenrod
96;Neuruppin-AltRuppin
98;Altastenberg
102;LeuchtturmAlteWeser
106;Altenau
116;Altenburg
125;Altenstadt
129;Altentreptow
131;Geringswalde-Altgeringswalde
132;Altglashuette
142;Altomuenster-Maisbrunn
150;Alzey
151;Amberg-Unterammersricht
154;Amerang-Pfaffing
161;Andernach
164;Angermuende
167;Anklam
169;Annaberg-Buchholz
172;Annaturm
174;Annweiler-Bindersbach
175;Ansbach
176;Ansbach-Claffheim
177;Ansbach-Hennenbach
183;Arkona
184;Arneburg
185;Arnis
186;Arnsberg
191;Arnstein-Muedesheim
193;Arolsen-NeuBerich
198;Artern
202;Aschaffenburg
207;Aschersleben
211;AsslarKlein-Altenstaedten
217;Attenkam
221;Aui.d.Hallertau-Guenzenhausen
222;Aue
231;Augsburg(SanktStephan)
232;Augsburg
243;Aurich
257;Baden-Baden-Geroldsau
259;Muellheim
268;Baiersbronn-Obertal
273;Baindt
282;Bamberg
283;Bamberg-Altenburg
284;Bamberg(Sternwarte)
288;Bargischow-Gnevezin
294;Barsinghausen-Hohenbostel
298;Barth
303;Baruth
314;Kubschuetz,Kr.Bautzen
320;Heinersreuth-Vollhof
321;Bayrischzell
326;Beckum-Unterberg
327;Bederkesa
330;Oberzent-Beerfelden
335;Behrensdorf
342;Belm
348;Bendorf
355;Bensheim
361;Berchtesgaden(KKst)
365;Berg/Oberpfalz
368;Bergen
377;Bergzabern,Bad
379;Berka,Bad(Flugplatz)
386;Berleburg,Bad
390;Berleburg,Bad-Stuenzel
395;Berlin-Adlershof
399;Berlin-Alexanderplatz
400;Berlin-Buch
402;Berlin-Dahlem(LFAG)
403;Berlin-Dahlem(FU)
405;Berlin-Friedrichshagen
407;Berlin-Frohnau
408;Berlin-Invalidenstrasse
410;Berlin-Kaniswall
416;Berlin-Lichtenrade
417;Berlin-Lichterfelde(Sued)
420;Berlin-Marzahn
422;Berlin-Mitte
424;Berlin-Ostkreuz
425;Berlin-Rudow
427;BerlinBrandenburg
429;Berlin-Spandau
430;Berlin-Tegel
432;Berlin-TegelerFliesstal
433;Berlin-Tempelhof
434;Berlin-Treptow
435;Berlin-Zehlendorf
445;Bernburg/Saale(Nord)
450;Bernkastel-Kues
458;Bertrich,Bad
460;Berus
474;Warthausen-Birkenhard
480;Biedenkopf-Wallau
502;Bischbrunn
508;Bischofsgruen
524;Bitterfeld
526;Blankenburg,Bad
535;Blankenrath
550;Bobeck
553;Bocholt(Marienschule)
554;Bocholt-Liedern(Wasserwerk)
555;Bochum
570;Bodenmais-Mais
576;Boeblingen
578;Boehming
588;Boffzen
591;Boizenburg
592;Bokel
594;Boll,Bad(KKst)
596;Boltenhagen
598;Bonn
599;Bonn-Friesdorf
603;Koenigswinter-Heiderhof
604;Bonndorf/Schwarzwald
606;Boos
614;Borgentreich-Buehne
617;BorkeninWestfalen
619;Borkum-Suederstrasse
634;Boxberg-Seehof
642;Brake
643;Brake-Suederfeld
645;Bramsche
648;Brande-Hoernerkirchen
650;Brandenburg-Goerden
652;Hagenbuechach
656;Braunlage
657;Braunlage-Hohegeiss
660;Braunschweig-Gliesmarode
661;Braunschweig(T.H.)
662;Braunschweig
685;Breitsol
691;Bremen
699;Bremen-Seefahrtschule
701;Bremerhaven
702;Bremerhaven-Speckenbuettel
703;Bremervoerde(A)
704;Bremervoerde
705;Bremervoerde-Niederochtenhausen
706;Eschbach
710;Bretten
717;Brilon
722;Brocken
727;Brombachtal-Kirch-Brombach
729;Brotterode
736;Bruecken
755;Buchen,Kr.Neckar-Odenwald
757;Buchenbach
760;Rosengarten-Klecken
766;Buechel(Flugplatz)
769;Bueckeburg
771;Buedingen
772;Buehlertal
773;Buehlertal-Obertal
793;Buhlenberg
807;Schluesselfeld(Klaeranlage)
817;Burgwald-Bottendorf
829;Butzbach-Bodenrod
833;Neuhausen/Erzgeb.-Rauschenbach(Talsp.)
840;Carlsfeld
848;Celle(Stadt)
850;Celle
851;Pemfling-Pitzling
853;Chemnitz
856;Chieming
863;Clausthal-Zellerfeld
865;Cloppenburg
867;Lautertal-Oberlauter
876;Collmberg
879;Cottbus(Flugplatz)
880;Cottbus
881;Crailsheim-Alexandersreut
888;Crimmitschau
891;Cuxhaven
896;Dachwig
917;Darmstadt
918;Darmstadt(A)
919;Darmstadt-BotanischerGarten
920;Darmstadt(US-Air-Base)
927;Daun
931;Deggenhausertal-Azenweiler
948;Dessau
953;Deuselbach
954;UFSDeutscheBucht
963;Diepholz
964;Dierfeld
965;Diesbar-Seusslitz
970;Dietenhofen
979;Dillenburg
982;Dillingen/Donau
983;Dillingen/Donau-Fristingen
991;Dippoldiswalde-Reinberg
998;Dobel
1000;Doberan,Bad-Heiligendamm
1001;Doberlug-Kirchhain
1003;Doebeln
1006;Doemitz
1018;Donaueschingen
1032;Dortmund
1047;Dresden(Mitte)
1048;Dresden-Klotzsche
1050;Dresden-Hosterwitz
1051;Dresden-Strehlen
1052;DrewitzbeiBurg
1053;Driburg,Bad
1066;Duderstadt
1072;Duerkheim,Bad
1073;Duerkheim,Bad(Saline)
1074;Duerrenberg,Bad
1076;Duerrheim,Bad
1078;Duesseldorf
1079;Duesseldorf-Suedfriedhof
1084;Duisburg-Friemersheim
1087;Duisburg-Laar
1091;Ebeleben
1093;Eberbach
1102;Ebersbach/Fils
1103;Ebersberg-Halbing
1106;Eberswalde
1107;Ebrach
1130;Eggebek
1146;Ehningen
1154;Eiberg
