Stationsname,Stations_Id,Jahr,Jahresmittel Lufttemperatur,abs. Max. Lufttemperatur,abs. Min. Lufttemperatur,Jahressumme Niederschlagshöhe,Max. Niederschlagshoehe Jahr,Jahresmittel Max. Lufttemperatur,Jahresmittel Min. Lufttemperatur,Sonnenscheindauer,Windstärke,abs. Max. Windmaxspitze,Bedeckungsgrad
Aach,1,1937,8.59,32.8,-11.0,817.4,39.1,13.29,4.64,,    1.70,,4.95
Aach,1,1938,8.18,31.5,-14.0,766.5,30.2,13.48,3.78,,    1.34,,4.61
Aach,1,1939,7.99,29.4,-21.2,1072.3,36.2,12.23,4.24,,    1.49,,5.48
Aach,1,1940,7.07,28.8,-20.4,966.2,38.7,11.85,2.91,,    1.34,,4.95
Aach,1,1941,7.61,33.6,-18.0,636.0,24.1,12.39,3.23,,    1.43,,5.02
Aach,1,1942,7.95,31.6,-23.2,734.3,36.2,13.05,3.39,,    1.36,,4.91
Aach,1,1943,9.57,38.2,-12.2,487.8,22.0,15.02,4.68,,    1.36,,4.67
Aach,1,1947,9.38,37.2,-19.0,520.6,30.8,14.89,4.37,,    1.21,,4.71
Aach,1,1948,8.82,30.6,-13.2,613.0,33.8,14.37,4.13,,    1.08,,5.04
Aach,1,1949,9.27,35.0,-14.8,505.0,29.4,15.34,3.96,,    1.14,,4.6
Aach,1,1950,8.8,35.0,-12.6,774.9,39.0,14.39,4.0,,    0.95,,5.1
Aach,1,1951,8.74,32.2,-8.8,688.3,28.6,13.93,4.05,,    0.96,,5.47
Aach,1,1952,8.33,36.2,-12.8,927.7,60.5,13.76,3.76,,    1.23,,5.52
Aach,1,1953,8.19,31.4,-17.8,606.8,41.7,13.81,3.65,,    0.92,,5.24
Aach,1,1954,7.49,31.0,-16.0,876.6,43.0,12.61,3.39,,    1.28,,5.84
Aach,1,1955,7.87,31.8,-13.4,800.1,49.8,12.83,3.25,,    1.39,,5.55
Aach,1,1956,7.27,29.8,-23.0,675.1,38.9,11.84,2.65,,    1.35,,5.8
Aach,1,1957,8.56,34.8,-15.2,670.0,32.8,13.47,3.89,,    1.16,,5.5
Aach,1,1958,8.55,32.7,-13.2,855.0,31.7,13.34,3.75,,    1.19,,5.7
Aach,1,1959,8.86,32.4,-16.2,704.0,45.5,14.09,3.35,,    1.43,,4.86
Aach,1,1960,8.25,29.4,-20.8,913.2,40.8,13.02,3.21,,    1.44,,5.9
Aach,1,1961,9.12,32.2,-13.0,693.1,23.7,14.38,3.78,,    1.57,,5.24
Aach,1,1962,7.22,32.2,-18.0,629.7,22.7,12.34,1.88,,    1.81,,5.1
Aach,1,1963,7.22,32.8,-24.0,827.8,46.6,12.15,2.2,,    1.58,,5.53
Aach,1,1964,8.48,33.6,-18.0,720.6,40.8,13.18,3.34,,    1.59,,5.67
Aach,1,1965,7.41,30.8,-16.4,1140.9,65.0,12.01,2.74,,    1.74,,5.92
Aach,1,1966,8.61,32.0,-21.0,892.8,32.2,13.49,3.68,,    1.68,,5.49
Aach,1,1967,8.57,32.2,-16.6,733.0,25.0,13.78,3.32,,    1.75,,5.16
Aach,1,1968,8.26,30.6,-23.4,849.0,53.2,12.95,3.4,,    1.70,,5.74
Aach,1,1969,7.91,31.6,-16.2,776.6,31.8,12.52,3.33,,    1.77,,5.11
Aach,1,1970,7.9,33.2,-14.6,851.6,26.5,12.38,3.45,,    1.87,,5.5
Aach,1,1971,8.02,32.8,-18.8,599.3,47.6,13.23,2.92,,    1.74,,4.85
Aach,1,1972,7.65,30.5,-13.5,777.8,52.4,12.44,3.1,,    1.87,,5.51
Aach,1,1973,7.86,30.0,-20.4,754.1,47.5,12.57,3.2,,    1.90,,5.48
Aach,1,1974,8.62,32.6,-8.4,771.1,55.7,13.18,4.28,,    2.06,,5.8
Aach,1,1975,8.55,31.0,-16.2,847.4,70.5,12.91,4.37,,    2.07,,5.6
Aach,1,1976,8.45,33.0,-17.0,618.6,35.5,13.38,3.6,,    2.10,,5.19
Aach,1,1977,8.61,33.2,-9.6,813.5,31.2,13.14,4.25,,    2.18,,5.93
Aach,1,1978,7.53,30.0,-14.8,888.8,67.2,12.1,2.91,,    2.00,,5.87
Aach,1,1979,8.2,32.0,-19.5,776.7,26.8,13.06,3.45,,    1.95,,5.73
Aach,1,1980,7.41,33.0,-16.0,774.3,35.2,12.25,2.91,,    1.95,,5.65
Aach,1,1981,8.17,31.2,-16.0,866.3,29.6,13.15,3.43,,    1.90,,5.62
Aach,1,1982,8.6,31.6,-14.8,874.0,55.5,13.39,4.19,,    1.94,,5.49
Aach,1,1983,8.61,37.0,-13.0,731.5,34.0,13.83,3.95,,    2.11,,5.16
Aach,1,1984,7.73,34.0,-11.4,670.6,29.8,12.62,3.33,,    1.89,,5.38
Aach,1,1985,7.55,34.2,-26.0,568.9,21.7,13.0,2.69,,    1.93,,5.13
Aachen,3,1891,9.13,30.2,-13.8,809.4,30.3,12.97,5.74,,    2.33,,5.35
Aachen,3,1892,9.31,36.4,-10.3,793.4,39.8,13.45,5.82,,    2.50,,5.37
Aachen,3,1893,9.99,35.0,-17.0,890.9,36.1,14.23,6.29,,    2.52,,5.18
Aachen,3,1894,9.85,35.2,-14.8,1017.2,37.1,13.78,6.55,,    2.64,,5.49
Aachen,3,1895,9.0,31.0,-20.2,859.0,28.2,13.04,4.93,,    2.52,,4.68
Aachen,3,1896,9.24,29.1,-8.8,808.2,42.9,12.63,5.76,,    2.43,,5.05
Aachen,3,1897,9.98,31.5,-7.3,810.4,32.3,13.68,6.35,,    2.44,,4.65
Aachen,3,1898,10.33,33.5,-4.3,789.2,37.3,13.87,6.81,,    2.31,,5.05
Aachen,3,1899,10.16,32.5,-12.0,762.7,27.9,14.11,6.16,,    2.58,,4.39
Aachen,3,1900,9.86,32.7,-10.8,865.7,31.4,13.66,6.2,,    3.19,,5.05
Aachen,3,1901,8.91,32.0,-17.5,808.7,57.6,13.02,5.04,,    3.43,,4.94
Aachen,3,1902,8.48,30.8,-12.9,770.1,29.4,12.48,5.06,,    3.43,,5.3
Aachen,3,1903,9.5,30.5,-9.1,848.5,28.1,13.28,6.14,,    3.74,,5.31
Aachen,3,1904,9.43,33.8,-9.4,676.5,30.9,13.71,5.61,,    2.99,,5.39
Aachen,3,1905,8.96,30.5,-12.3,985.5,68.0,12.75,4.72,,    3.07,,5.68
Aachen,3,1906,9.37,31.9,-9.2,930.7,42.7,13.31,5.64,,    3.03,,5.46
Aachen,3,1907,9.02,29.1,-14.6,693.2,34.3,13.0,5.74,,    2.89,,5.33
Aachen,3,1908,8.74,29.4,-14.5,721.9,21.9,12.93,5.32,,    2.74,,5.25
Aachen,3,1909,8.56,29.3,-9.0,834.1,36.4,12.54,5.14,,    2.63,,5.3
Aachen,3,1910,9.56,28.7,-6.3,991.7,38.6,13.46,6.44,,    2.81,,5.57
Aachen,3,1911,10.37,37.0,-9.1,582.2,23.2,14.95,6.5,,    2.76,,4.89
Aachen,3,1912,9.54,33.4,-15.9,831.5,35.5,13.62,6.26,,    2.88,,5.39
Aachen,3,1913,9.77,29.2,-7.8,802.8,35.2,13.89,6.62,,    2.66,,5.36
Aachen,3,1914,9.71,30.7,-11.5,873.4,35.0,13.81,6.0,,    2.79,,5.08
Aachen,3,1930,10.14,34.9,-6.3,952.5,55.6,14.14,6.55,,    2.84,,5.29
Aachen,3,1931,8.93,30.7,-10.2,790.4,28.1,13.04,5.43,,    3.04,,5.51
Aachen,3,1932,9.6,36.1,-11.2,793.0,25.8,13.5,6.31,,    3.06,,5.5
Aachen,3,1933,9.14,35.2,-14.0,620.2,42.1,13.42,5.54,,    2.70,,4.91
Aachen,3,1934,10.56,33.8,-9.8,646.3,23.0,14.66,7.04,,    2.72,,5.28
Aachen,3,1935,9.74,32.7,-10.0,938.0,51.1,13.74,6.32,1752.1,    3.04,,5.44
Aachen,3,1936,9.58,31.6,-10.0,889.2,45.8,13.29,6.19,1517.4,    2.93,,5.69
Aachen,3,1937,9.96,34.0,-6.8,791.2,30.0,13.69,6.74,1344.7,    2.55,,6.07
Aachen,3,1938,9.88,33.1,-15.5,746.1,28.2,13.83,6.48,1625.3,    3.08,,5.44
Aachen,3,1939,9.7,31.5,-8.1,786.5,26.1,13.57,6.37,1472.5,    3.06,,5.65
Aachen,3,1940,8.44,29.2,-16.8,774.3,32.5,12.48,4.91,1469.6,    3.02,,5.38
Aachen,3,1941,8.82,32.5,-11.3,718.8,23.8,12.71,5.52,1474.2,    3.00,,5.52
Aachen,3,1942,8.91,33.0,-19.2,749.2,48.8,12.89,5.3,1656.9,    2.78,,5.29
Aachen,3,1943,10.18,32.3,-9.3,745.0,31.1,14.17,6.79,1584.1,    2.57,,5.61
Aachen,3,1944,9.12,37.2,-9.5,882.9,36.9,13.29,5.63,,    3.02,,6.03
Aachen,3,1946,9.65,33.1,-14.0,767.4,28.2,13.56,5.73,1442.9,    2.60,,5.63
Aachen,3,1947,10.48,36.6,-16.0,851.4,46.5,14.7,5.8,,    2.82,,5.13
Aachen,3,1948,10.53,31.6,-11.2,925.5,42.6,14.5,6.33,1674.1,    3.14,,5.26
Aachen,3,1949,10.65,32.6,-9.3,720.1,39.8,14.76,5.99,1821.3,    2.81,,5.03
Aachen,3,1950,9.82,30.6,-16.5,802.8,24.9,13.62,6.3,1711.8,    2.44,,5.33
Aachen,3,1951,9.87,30.4,-6.1,837.4,29.3,13.9,6.49,1698.0,    2.33,,5.22
Aachen,3,1952,9.12,34.3,-7.4,995.0,35.3,12.95,5.9,1672.2,    2.14,,5.51
Aachen,3,1953,9.98,30.9,-13.0,623.8,23.7,14.12,6.52,1645.3,    2.00,,5.23
