Stations_id;von_datum;bis_datum;Stations;hoehe geoBreite;geoLaenge ;Stationsname;Bundesland
1;19310101;19860630;478;478.413;88.493;Aach;Baden-Württemberg
3;18510101;20110331;202;507.827;60.941;Aachen;Nordrhein-Westfalen
44;19710301;20221231;44;529.336;82.370;Großenkneten;Niedersachsen
52;19730101;20011231;46;536.623;101.990;Ahrensburg-Wulfsdorf;Schleswig-Holstein
61;19750701;19780831;339;488.443;126.171;Aiterhofen;Bayern
70;19730601;19860930;712;482.052;90.371;Albstadt-Ebingen;Baden-Württemberg
71;19861101;20191231;759;482.156;89.784;Albstadt-Badkap;Baden-Württemberg
72;19781001;19950531;794;482.766;90.001;Albstadt-Onstmettingen;Baden-Württemberg
73;19530101;20221231;340;486.159;130.506;Aldersbach-Kriestorf;Bayern
78;19610101;20221231;64;524.853;79.125;Alfhausen;Niedersachsen
91;19781101;20221231;300;507.446;93.450;Alsfeld-Eifa;Hessen
93;19771201;19781031;269;507.691;92.542;Alsfeld-Reibertenrod;Hessen
96;20190409;20230501;50;529.437;128.518;Neuruppin-Alt Ruppin;Brandenburg
98;18870101;19541231;780;511.890;84.671;Altastenberg;Nordrhein-Westfalen
102;19980101;20221231;0;538.633;81.275;Leuchtturm Alte Weser;Niedersachsen
106;19730101;19960229;500;517.976;104.429;Altenau;Niedersachsen
116;18990601;19730531;213;509.833;124.333;Altenburg;Thüringen
125;20190101;20221231;742;478.342;108.667;Altenstadt;Bayern
129;19910101;20061231;28;536.893;132.420;Altentreptow;Mecklenburg-Vorpommern
131;20041101;20221231;296;510.881;129.326;Geringswalde-Altgeringswalde;Sachsen
132;19531211;19870930;750;497.725;123.891;Altglashütte;Bayern
142;19550101;20221231;511;484.060;113.117;Altomünster-Maisbrunn;Bayern
150;19010101;20221231;215;497.273;81.164;Alzey;Rheinland-Pfalz
151;18810101;20221231;382;494.691;118.546;Amberg-Unterammersricht;Bayern
154;19940101;20221231;516;480.197;122.925;Amerang-Pfaffing;Bayern
161;20110901;20221231;75;504.237;74.202;Andernach;Rheinland-Pfalz
164;19080517;20221231;54;530.316;139.908;Angermünde;Brandenburg
167;19400101;20221231;11;538.409;136.854;Anklam;Mecklenburg-Vorpommern
169;18810101;19661231;630;505.730;130.053;Annaberg-Buchholz;Sachsen
172;19690501;19911130;395;522.486;95.056;Annaturm;Niedersachsen
174;19840301;19871231;250;491.886;79.766;Annweiler-Bindersbach;Rheinland-Pfalz
175;18810101;19760430;413;492.964;105.751;Ansbach;Bayern
176;19760601;19951130;481;492.475;105.826;Ansbach-Claffheim;Bayern
